user,total_staked,staked_count,total_withdrawn,withdrawn_count,total_mor_claimed,claim_count,mor_balance
0x03cb944bD3Efc60A585677f4F2c27ea780A64b5C,0.19,1,0.0,0.0,0.0,0.0,0.0
0x03fF49226658c81C307adA7C34bB7EF6F2d227c5,0.11,1,0.0,0.0,0.0,0.0,0.0
0x041183F7B8ad1BE9a13d672f261Cc05B591D7E6a,1.0,1,1.0,1.0,0.0,0.0,0.0
0x0417409BEFbbE9474a7623b2e70438965663138b,0.24585411859759698,2,0.24585411859759698,1.0,1.1123439804905915,1.0,1.1123439804905915
0x0417d654991AC48bBF071C3527Bda02e7682148e,0.14711403659542324,1,0.0,0.0,0.0,0.0,0.0
0x0423Dcb1D68fCD6E5944C0FD4a9c8f96d818fA60,0.7,1,0.0,0.0,1.8947219279235186,1.0,1.8947219279235186
0x0435E96350b139A64A67A74c88812F7aA6e1A57f,1.7875e-14,2,1e-14,1.0,0.0,0.0,0.0
0x043E62e69a7AB806f9D52028FCdb6378Ac333E84,0.030931870841644976,1,0.030931870841644976,1.0,0.0,0.0,0.0
0x04423fFbb4B72B14C25A5b376b872DB2267Ef59e,0.15748237088936934,1,0.15748237088936934,1.0,0.4039951895100419,1.0,0.4039951895100419
0x044A6581303e83CFDe7d1DF38126fDE30241bA53,0.09061302034035111,1,0.09061302034035111,1.0,0.0,0.0,0.0
0x044B50dAb03BcD29152Da12b30A184D48F12AE79,0.03780810665617973,1,0.0,0.0,0.0,0.0,0.0
0x044a9c43e95AA9FD28EEa25131A62b602D304F1f,13.326305625968144,1,13.326305625968144,1.0,0.0,0.0,0.0
0x0451346b7529B5cD136a6121EB1E76c4e66a5D67,0.6661991155585156,1,0.6661991155585156,1.0,0.6680100496732202,1.0,0.0
0x045661EB6E0f8E3b3708E9E653ED15DDC0Ef6e9d,50.00841,1,0.0,0.0,0.0,0.0,0.0
0x045903F283D33a618C801ab5A079Cd8CB0DfdC06,2.02402723,1,2.02402723,1.0,1.142041546672118,1.0,1.142041546672118
0x045E2a9Db6cA319F6B667813C6088067Eb52851E,9.85,1,9.85,1.0,4.2968084510407465,1.0,4.2968084510407465
0x0465ED4205963B314e34e866730f9bA5e75bD677,2.0110187101789627,1,0.0,0.0,10.315765938337451,3.0,0.0
0x046F051f4158655ab79D61584ad80630b1e1b2b5,19.20380423707917,1,19.20380423707917,1.0,56.81530272274322,1.0,0.0
0x0471210325BE76c4858ae6E2c6be88E04fd3a184,0.035,1,0.0,0.0,0.0,0.0,0.0
0x047885eBA4400800b263Ca89700D8735E547F2b0,8.202783955010034,2,8.202783955010034,2.0,10.100905891686981,2.0,0.0
0x049769E8506aBf0A3f0C1b278Cf33238c96122fA,0.08452106016309184,1,0.0,0.0,0.0,0.0,0.0
0x04A64871e3913B911B468531B511420D45ED5B2A,0.52,1,0.52,1.0,0.1911249637418652,1.0,0.0
0x04A6c05eE4783922C4633c4e19ef050a7C5e4E92,0.13,1,0.13,1.0,0.2671851675362436,1.0,0.0
0x04B3B56c548C88863D921630b905FC6AA742E771,0.7,1,0.7,1.0,2.898528086309914,1.0,2.898528086309914
0x04C03B270481e585c2F645DF54504dceD7A1822C,0.8629364679435574,3,0.8629364679435574,3.0,0.0,0.0,0.0
0x04C18CbF703c72591F1800b52d801a948f55e00C,1.0102136371042967,1,1.0102136371042967,1.0,4.562086269688134,2.0,4.562086269688134
0x04D9Ba17f399e2f2f67AFD40b54b5b15A764F20d,24.016620886528653,1,24.016620886528653,1.0,0.0,0.0,0.0
0x04F9432e0eE95C959B4541E17A6f882e87eC9DB7,5.769089669829944,1,0.0,0.0,3.7839260605115648,1.0,0.0
0x04aCcd9EC1FF27c36127960B689c370084ace5c4,0.9754988728118772,2,0.9754988728118771,1.0,6.36042700844045,2.0,6.360427008440449
0x04b91113d4aCf1c7354b917Bc892E3879491177b,2.2495002532478745,2,0.0,0.0,0.0,0.0,0.0
0x04bE4698728Df6257ae24D7f308546A326174B82,0.5451360492905943,1,0.5451360492905943,1.0,1.6378215426076006,1.0,0.0
0x04c291E8288dcD44cC4cA058d13068117db11781,0.5,1,0.5,1.0,0.8589415839152276,1.0,0.8589415839152276
0x04e55872b6AE71387120e5C67376d1434f39C4A8,1.12,1,1.12,1.0,2.2940699423600956,1.0,0.0
0x04e73a2A8C2B809BaDa48ad1A6D4dB0be4696fe0,7.60402762782401,2,7.60402762782401,2.0,20.858467951147254,3.0,0.0
0x04e7c2beB889Cd7Cb040D05f7238D18471D2387d,1.98695636,1,1.98695636,1.0,4.033664435208221,2.0,0.0
0x04f806b3a5d670901a19879a626e0E025B7991F3,617.6418155857593,2,307.72246941853143,1.0,0.0,0.0,0.0
0x050D3351F57B3241f15E7A69f9938dF0A4c1D529,0.1,1,0.1,1.0,0.223044101397604,1.0,0.223044101397604
0x050b2f68EDCcF3743D916ABE6Bbb1fBDA34EB497,95.7382311384628,2,0.0,0.0,492.39378689070037,8.0,114.0
0x052D4Fbf9357689b3b8aF529d4f6Fac97a8f436C,3.101120526297446,1,3.101120526297446,1.0,6.73499082301413,1.0,6.73499082301413
0x053E6294400a9268E35Df445624F58087C7F388f,7.720223724120413,2,7.720223724120412,2.0,17.192756407861797,3.0,88.89046828302294
0x0541Cfbf9d1C0569B2c90657D629eF5a1F02bd6a,7.934993907629595,2,4.934905618919194,3.0,21.35211097240439,2.0,21.352110972404393
